,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1079249,2021-04-27,PI,São João da Canabrava,city,311,5,348,True,4608.0,4614.0,2209856.0,6740.35544,0.0161
1079597,2021-04-27,PI,São João da Fronteira,city,205,2,355,True,6042.0,6064.0,2209872.0,3380.6068600000003,0.0098
1079952,2021-04-27,PI,São João da Serra,city,273,10,328,True,6139.0,6122.0,2209906.0,4459.327020000001,0.0366
1080280,2021-04-27,PI,São João da Varjota,city,109,2,305,True,4840.0,4848.0,2209955.0,2248.34983,0.0183
1080585,2021-04-27,PI,São João do Arraial,city,464,4,333,True,7989.0,8038.0,2209971.0,5772.58024,0.0086
1080918,2021-04-27,PI,São João do Piauí,city,1041,27,362,True,20601.0,20662.0,2210003.0,5038.23444,0.0259
1081280,2021-04-27,PI,São Julião,city,235,7,363,True,6363.0,6371.0,2210300.0,3688.58892,0.0298
1081643,2021-04-27,PI,São Lourenço do Piauí,city,59,1,364,True,4573.0,4577.0,2210359.0,1289.05397,0.0169
1082007,2021-04-27,PI,São Luis do Piauí,city,102,0,356,True,2644.0,2646.0,2210375.0,3854.8752799999997,0.0
1082363,2021-04-27,PI,São Miguel da Baixa Grande,city,118,1,361,True,2452.0,2454.0,2210383.0,4808.47596,0.0085
1082724,2021-04-27,PI,São Miguel do Fidalgo,city,75,2,302,True,3039.0,3038.0,2210391.0,2468.72943,0.0267
1083026,2021-04-27,PI,São Miguel do Tapuio,city,522,12,335,True,17662.0,17639.0,2210409.0,2959.35144,0.023
1083361,2021-04-27,PI,São Pedro do Piauí,city,992,17,365,True,14291.0,14324.0,2210508.0,6925.4398200000005,0.0171
1083726,2021-04-27,PI,São Raimundo Nonato,city,3022,42,379,True,34710.0,34877.0,2210607.0,8664.73607,0.0139
1084105,2021-04-27,PI,Tamboril do Piauí,city,32,4,300,True,2919.0,2929.0,2210953.0,1092.52305,0.125
1084405,2021-04-27,PI,Tanque do Piauí,city,119,0,314,True,2765.0,2773.0,2210979.0,4291.381179999999,0.0
1084719,2021-04-27,PI,Teresina,city,84355,1939,405,True,864845.0,868075.0,2211001.0,9717.47833,0.023
1085124,2021-04-27,PI,União,city,1795,44,375,True,44485.0,44569.0,2211100.0,4027.46303,0.0245
1085499,2021-04-27,PI,Uruçuí,city,3231,42,366,True,21558.0,21655.0,2211209.0,14920.341719999999,0.013
1085865,2021-04-27,PI,Valença do Piauí,city,1585,49,362,True,20918.0,20929.0,2211308.0,7573.22376,0.0309
1086227,2021-04-27,PI,Vera Mendes,city,192,2,352,True,3077.0,3080.0,2211506.0,6233.766229999999,0.0104
1086579,2021-04-27,PI,Vila Nova do Piauí,city,123,1,360,True,2971.0,2952.0,2211605.0,4166.6666700000005,0.0081
1086939,2021-04-27,PI,Várzea Branca,city,148,9,337,True,4947.0,4938.0,2211357.0,2997.16484,0.0608
1087276,2021-04-27,PI,Várzea Grande,city,334,0,368,True,4391.0,4386.0,2211407.0,7615.13908,0.0
1087644,2021-04-27,PI,Wall Ferraz,city,329,3,313,True,4462.0,4471.0,2211704.0,7358.532770000001,0.0091
1087957,2021-04-27,PI,Água Branca,city,1277,56,370,True,17411.0,17470.0,2200202.0,7309.6737299999995,0.0439
